Date,Name,Profile link,Topic,Manager,Format,Ad link,UTM Link,UTM Campaign,Budget,Reach (Plan),Fact Reach,Median %,CPM (Plan),CPM Fact,CTR Plan,CTR Fact,Traffic Plan,Traffic Fact,CPC Plan,CPC Fact,CR0 Plan,CR0 Fact,Contacts Plan,Contacts Fact,CPContact Plan,CPContact Fact,"CR1 Contact - deal
Plan","CR1 Contact - deal 
Fact",Deals Plan,Deals Fact,CR3 Deal > call Plan,CR3 Deal > call Fact,Calls Plan,Calls Fact,"CR4 Call - GTC
Fact",GTC ? Plan,GTC ? Fact,?R Call > Purchase P  - 1 month,?R Call > Purchase F  - 1 month,Purchase F - TOTAL,CMC F - TOTAL,Purchase P - 1 month,Purchase F - 1 month,CMC P - 1 ???,CMC F - 1 month,Purchase F - 2 ?onth,"CMC F - 
2 ?onth","Purchase F - 
3 ?onth","CMC F - 
3 ?onth","Purchase F - 
6 ?onth","CMC F - 
6 ?onth",is_parseable,url_type,content_id,integration_timestamp
2025-04-29,scraplifegarage,https://www.youtube.com/@scraplifegarage,Auto,Masha,youtube,https://youtu.be/1lvNfQ38970?si=Le3m0vHtNBfU_hR7&t=399,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_scraplifegarage0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_scraplifegarage0425,6000.0,200000.0,127000.0,0.635,30.0,47.24409449,0.0012,0.001889764,240.0,108.0,25.0,55.55555556,0.08,0.083333333,19.2,9.0,312.5,666.6666667,0.2,0.888888889,3.84,8.0,0.4,0.0,1.536,0.0,,0.4608,0.0,0.3,,0.0,,0.4608,0.0,13020.83333,,0.0,,0.0,,0.0,,True,youtube,1lvNfQ38970,399.0
2025-04-30,tech.unicorn,https://www.instagram.com/tech.unicorn/?igshid=MWI4MTIyMDE%3D#,Tech Careers,Arina,story,tech.unicorn.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_techunicorn0425stories&utm_content=stories,influencers_techunicorn0425stories,500.0,5000.0,5000.0,1.0,100.0,100.0,0.0012,0.0012,6.0,88.0,83.33333333,5.681818182,0.08,0.068181818,0.48,6.0,1041.666667,83.33333333,0.2,0.0,0.096,0.0,0.4,,0.0384,0.0,,0.01152,0.0,0.3,,0.0,,,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-05-01,addison.jarman,https://www.instagram.com/addison.jarman/,Finance,Tatam,reel,https://www.instagram.com/reel/DJH_w4NBmHS/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_addison.jarman0525&utm_content=reels,influencers_addison.jarman0525,5938.0,120000.0,72000.0,0.6,49.48333333,82.47222222,0.0012,0.002,144.0,483.0,41.23611111,12.29399586,0.08,0.043478261,11.52,21.0,515.4513889,282.7619048,0.2,0.571428571,2.304,12.0,0.4,0.083333333,0.9216,1.0,0.0,0.27648,0.0,0.3,0.0,0.0,,0.27648,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DJH_w4NBmHS,
2025-05-01,jjbuckner,https://www.youtube.com/@jjbuckner/videos,Career,Masha,youtube,https://youtu.be/8HJExlM3HVE?si=lT5hykiZzDexOMVB&t=199,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_jjbuckner0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_jjbuckner0525,4000.0,45000.0,116000.0,2.577777778,88.88888889,34.48275862,0.0012,0.000465517,54.0,156.0,74.07407407,25.64102564,0.08,0.057692308,4.32,9.0,925.9259259,444.4444444,0.2,0.888888889,0.864,8.0,0.4,0.5,0.3456,4.0,0.25,0.10368,1.0,0.3,0.25,1.0,4000.0,0.10368,0.0,38580.24691,,0.0,,0.0,,0.0,,True,youtube,8HJExlM3HVE,199.0
2025-05-07,annalee15,https://www.instagram.com/annalee15/,Parents,Tatam,reel,https://www.instagram.com/reel/DJUV3x7AQcU/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_annalee150525&utm_content=reels,influencers_annalee150525,6250.0,200000.0,40100.0,0.2005,31.25,155.8603491,0.0012,0.005985037,240.0,90.0,26.04166667,69.44444444,0.08,0.133333333,19.2,12.0,325.5208333,520.8333333,0.2,0.833333333,3.84,10.0,0.4,0.0,1.536,0.0,,0.4608,0.0,0.3,,0.0,,0.4608,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DJUV3x7AQcU,
2025-05-11,NicholasGarofola,https://www.youtube.com/@NicholasGarofola/,Self Development,Masha,youtube,https://youtu.be/-iVqB72zxoM?si=-bHkeKt3LF9YXMwa&t=165,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_nicholasgarofola0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_nicholasgarofola0525,1350.0,31000.0,248000.0,8.0,43.5483871,5.443548387,0.0012,0.00015,37.2,457.0,36.29032258,2.95404814,0.08,0.122538293,2.976,56.0,453.6290323,24.10714286,0.2,0.267857143,0.5952,15.0,0.4,0.266666667,0.23808,4.0,0.5,0.071424,2.0,0.3,0.25,1.0,1350.0,0.071424,1.0,,1350.0,1.0,1350.0,1.0,1350.0,1.0,1350.0,True,youtube,-iVqB72zxoM,165.0
2025-05-12,SciManDan,https://www.youtube.com/@SciManDan,Science,Tatam,youtube,https://youtu.be/nBP-Q9raF90?si=JXethnRhku36IZRF&t=45,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_scimandan0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_scimandan0525,3125.0,100000.0,84000.0,0.84,31.25,37.20238095,0.0012,0.001428571,120.0,83.0,26.04166667,37.65060241,0.08,0.096385542,9.6,8.0,325.5208333,390.625,0.2,0.5,1.92,4.0,0.4,0.0,0.768,0.0,,0.2304,0.0,0.3,,0.0,,0.2304,0.0,,,0.0,,0.0,,0.0,,True,youtube,nBP-Q9raF90,45.0
2025-05-15,easyactually,https://www.youtube.com/@easyactually,Knowledge,Masha,youtube,https://youtu.be/YJGY7n5gFVk?si=oR2-GjitdLFlWVyh&t=221,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_easyactually0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_easyactually0525,8000.0,407000.0,102000.0,0.250614251,19.65601966,78.43137255,0.0012,0.004788235,488.4,1357.0,16.38001638,5.895357406,0.08,0.196757553,39.072,267.0,204.7502048,29.96254682,0.2,0.382022472,7.8144,102.0,0.4,0.254901961,3.12576,26.0,0.461538462,0.937728,12.0,0.3,0.192307692,5.0,1600.0,0.937728,3.0,,2666.666667,3.0,2666.666667,4.0,2000.0,5.0,1600.0,True,youtube,YJGY7n5gFVk,221.0
2025-05-15,SciShow,https://www.youtube.com/@SciShow/videos,Knowledge,Masha,youtube,https://youtu.be/Fs53QhJM9FA?si=fSPE0I2lOa_TjHyt&t=439,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_scishow0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_scishow0525,3000.0,190000.0,214000.0,1.126315789,15.78947368,14.01869159,0.0012,0.001065421,228.0,153.0,13.15789474,19.60784314,0.08,0.124183007,18.24,19.0,164.4736842,157.8947368,0.2,0.315789474,3.648,6.0,0.4,0.0,1.4592,0.0,,0.43776,0.0,0.3,,0.0,,0.43776,0.0,,,0.0,,0.0,,0.0,,True,youtube,Fs53QhJM9FA,439.0
2025-05-16,ApertureThinking,https://www.youtube.com/@ApertureThinking,Mental Health,Masha,youtube,https://www.youtube.com/live/uADWm8KRXlY?si=X3MULU1tEykdGoI5&t=799,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_aperture0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_aperture0525,2500.0,47000.0,17000.0,0.361702128,53.19148936,147.0588235,0.0012,0.003317647,56.4,19.0,44.32624113,131.5789474,0.08,0.052631579,4.512,1.0,554.0780142,2500.0,0.2,1.0,0.9024,1.0,0.4,0.0,0.36096,0.0,,0.108288,0.0,0.3,,0.0,,0.108288,0.0,,,0.0,,0.0,,0.0,,True,youtube,uADWm8KRXlY,799.0
2025-05-14,moschinodorito,https://www.instagram.com/moschinodorito,Sketchers,Arina,reel,https://www.instagram.com/reel/DKNA0Zst_Gy/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_moschinodorito0525&utm_content=reel,influencers_moschinodorito0525,4000.0,100000.0,83400.0,0.834,40.0,47.9616307,0.0012,0.000906475,75.6,61.0,52.91005291,65.57377049,0.08,0.163934426,6.048,10.0,661.3756614,400.0,0.2,0.2,1.2096,2.0,0.4,0.5,0.48384,1.0,0.0,0.145152,0.0,0.3,1.0,1.0,4000.0,0.145152,1.0,,4000.0,1.0,4000.0,1.0,4000.0,1.0,4000.0,True,instagram_reel,DKNA0Zst_Gy,
2025-05-28,mamas.on.a.budget,https://www.instagram.com/mamas.on.a.budget,Finance,Arina,reel,https://www.instagram.com/reel/DKMzabst5S3/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_mamas.on.a.budget0525&utm_content=reel,influencers_mamas.on.a.budget0525,4000.0,100000.0,79500.0,0.795,40.0,50.31446541,0.0012,0.003139623,249.6,322.0,38.06089744,29.50310559,0.08,0.279503106,19.968,90.0,475.7612179,105.5555556,0.2,0.188888889,3.9936,17.0,0.4,0.0,1.59744,0.0,,0.479232,0.0,0.3,,0.0,,0.479232,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DKMzabst5S3,
2025-05-30,gerrybrooksprin,https://www.instagram.com/gerrybrooksprin/,Teacher,Tatam,reel,https://www.instagram.com/reel/DKR_8L_Nd_A/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_gerrybrooksprin0525&utm_content=reels,influencers_gerrybrooksprin0525,6875.0,200000.0,112000.0,0.56,34.375,61.38392857,0.0012,0.001071429,120.0,,33.33333333,,0.08,,9.6,,416.6666667,,0.2,,1.92,,0.4,,0.768,,,0.2304,,0.3,,,,0.2304,,,,,,,,,,True,instagram_reel,DKR_8L_Nd_A,
2025-05-30,salarytransparentstreet,https://www.instagram.com/salarytransparentstreet/,Interview,Arina,story,salary transparent.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_salarytransparentstreet0525&utm_content=stories,influencers_salarytransparentstreet0525,4000.0,50000.0,9500.0,0.19,80.0,421.0526316,0.0012,0.012631579,120.0,1189.0,33.33333333,3.364171573,0.08,0.149705635,9.6,178.0,416.6666667,22.47191011,0.2,0.601123596,1.92,107.0,0.4,0.074766355,0.768,8.0,0.25,0.2304,2.0,0.3,0.125,1.0,4000.0,0.2304,1.0,,4000.0,1.0,4000.0,1.0,4000.0,1.0,4000.0,False,local_file,,
2025-05-30,simplyy.jamieee,https://www.instagram.com/simplyy.jamieee/,Career,Arina,story,simply.jamie.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_simplyy.jamieee0525&utm_content=stories,influencers_simplyy.jamieee0525,3000.0,10000.0,16400.0,1.64,300.0,182.9268293,0.0012,0.003658537,60.0,26.0,66.66666667,153.8461538,0.08,0.038461538,4.8,1.0,833.3333333,4000.0,0.2,0.0,0.96,0.0,0.4,,0.384,0.0,,0.1152,0.0,0.3,,0.0,,0.1152,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-05-30,andrewcodesmith,https://www.instagram.com/andrewcodesmith/,Tech Careers,Arina,story,andrewcodesmith.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_andrewcodesmith0525&utm_content=stories,influencers_andrewcodesmith0525,2000.0,5000.0,8000.0,1.6,400.0,250.0,0.0012,0.003,24.0,26.0,41.66666667,38.46153846,0.08,0.038461538,1.92,1.0,520.8333333,1000.0,0.2,0.0,0.384,0.0,0.4,,0.1536,0.0,,0.04608,0.0,0.3,,0.0,,0.04608,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-05-22,thelonesol,https://www.instagram.com/thelonesol,Travel,Arina,reel,https://www.instagram.com/reel/DJ7GJ35uWke/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_thelonesol0525reel&utm_content=reel,influencers_thelonesol0525reel,4000.0,20000.0,15900.0,0.795,200.0,251.572327,0.0012,0.001509434,24.0,64.0,166.6666667,62.5,0.08,0.078125,1.92,5.0,2083.333333,800.0,0.2,0.2,0.384,1.0,0.4,0.0,0.1536,0.0,,0.04608,0.0,0.3,,0.0,,0.04608,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DJ7GJ35uWke,
2025-05-26,ChrisHytha,https://www.youtube.com/@ChrisHytha/videos,Hobby,Masha,youtube,https://youtu.be/xYQU7eifA44?si=pnfouMz7fuvWRdbX&t=625,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_chrishytha0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_chrishytha0525,4000.0,63000.0,47000.0,0.746031746,63.49206349,85.10638298,0.0012,0.001608511,75.6,61.0,52.91005291,65.57377049,0.08,0.163934426,6.048,10.0,661.3756614,400.0,0.2,0.2,1.2096,2.0,0.4,0.5,0.48384,1.0,0.0,0.145152,0.0,0.3,1.0,1.0,4000.0,0.145152,1.0,,4000.0,1.0,4000.0,1.0,4000.0,1.0,4000.0,True,youtube,xYQU7eifA44,625.0
2025-05-26,NewRockstars,https://www.youtube.com/@NewRockstars/featured,Movies,Masha,youtube,https://youtu.be/OgLcgfJi0_I?si=cx2I2xL8BNqQd2Mq&t=812,https://tripleten.com/special/free-tech-career-consultation/?utm_campaign=influencers_newrockstars0525&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_newrockstars0525,9500.0,208000.0,298000.0,1.432692308,45.67307692,31.87919463,0.0012,0.000837584,249.6,322.0,38.06089744,29.50310559,0.08,0.279503106,19.968,90.0,475.7612179,105.5555556,0.2,0.188888889,3.9936,17.0,0.4,0.0,1.59744,0.0,,0.479232,0.0,0.3,,0.0,,0.479232,0.0,,,0.0,,0.0,,0.0,,True,youtube,OgLcgfJi0_I,812.0
2025-06-04,claudiaravioli,https://www.instagram.com/claudiaravioli/,Sketchers,Arina,story,Claudiaravioly.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_claudiaravioli0625&utm_content=stories,influencers_claudiaravioli0525,2500.0,30000.0,15000.0,0.5,83.33333333,166.6666667,0.0014,0.0028,42.0,105.0,59.52380952,23.80952381,0.08,0.114285714,3.36,12.0,744.047619,208.3333333,0.2,0.75,0.672,9.0,0.4,0.222222222,0.2688,2.0,0.5,0.1344,1.0,0.3,0.0,0.0,,0.08064,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-06-06,antiworkgirlboss,https://www.instagram.com/antiworkgirlboss/,Career,Tatam,story,https://drive.google.com/drive/folders/1XEUfS46DptOzKfcmzpOZmUVhGczpPJMK,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_influencers_antiworkgirlboss0525&utm_content=reel,influencers_antiworkgirlboss0625,2500.0,20000.0,3300.0,0.165,125.0,757.5757576,0.0014,0.008484848,28.0,67.0,89.28571429,37.31343284,0.08,0.074626866,2.24,5.0,1116.071429,500.0,0.2,0.2,0.448,1.0,0.4,0.0,0.1792,0.0,,0.0,0.0,0.3,,0.0,,0.05376,0.0,,,0.0,,0.0,,0.0,,True,drive_link,,
2025-06-07,jrob0021,https://www.youtube.com/@jrob0021/videos,Gaming,Tatam,youtube,https://youtu.be/AJRO-QhSYpw?si=3YGh-gENgB_ZlG6r&t=210,,influencers_jacobr0625,5000.0,214000.0,151000.0,0.705607477,23.36448598,33.11258278,0.0014,0.001984106,299.6,119.0,16.68891856,42.01680672,0.08,0.117647059,23.968,14.0,208.611482,357.1428571,0.2,0.428571429,4.7936,6.0,0.4,0.0,1.91744,0.0,,0.0,0.0,0.3,,0.0,,0.575232,0.0,,,0.0,,0.0,,0.0,,True,youtube,AJRO-QhSYpw,210.0
2025-06-08,dantorp11,https://www.youtube.com/dantorp11/videos,Travel,Tatam,youtube,https://youtu.be/lUHSAkbzcEk?si=2vsiwcEvORs5b-eA&t=506,,influencers_nonstopdan0625,9000.0,196000.0,455000.0,2.321428571,45.91836735,19.78021978,0.0014,0.000603077,274.4,600.0,32.79883382,15.0,0.08,0.085,21.952,51.0,409.9854227,176.4705882,0.2,0.235294118,4.3904,12.0,0.4,0.0,1.75616,0.0,,0.0,0.0,0.3,,0.0,,0.526848,0.0,,,0.0,,0.0,,0.0,,True,youtube,lUHSAkbzcEk,506.0
2025-06-10,danpulzello,https://www.instagram.com/danpulzello/,Sketchers,Arina,reel,https://www.instagram.com/reel/DKw9IDzs65B/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_danpulzello0625reels&utm_content=reels,influencers_danpulzello0625reels,3500.0,70000.0,48000.0,0.685714286,50.0,72.91666667,0.0014,0.002041667,98.0,64.0,35.71428571,54.6875,0.08,0.09375,7.84,6.0,446.4285714,583.3333333,0.2,0.166666667,1.568,1.0,0.4,0.0,0.6272,0.0,,0.0,0.0,0.3,,0.0,,0.18816,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DKw9IDzs65B,
2025-06-10,danpulzello,https://www.instagram.com/danpulzello/,Sketchers,Arina,story,danpulzello.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_danpulzello0625&utm_content=stories,influencers_danpulzello0625,500.0,10000.0,7000.0,0.7,50.0,71.42857143,0.0014,0.002,14.0,34.0,35.71428571,14.70588235,0.08,0.029411765,1.12,1.0,446.4285714,500.0,0.2,0.0,0.224,0.0,0.4,,0.0896,0.0,,0.0,0.0,0.3,,0.0,,0.02688,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-06-12,mamas.on.a.budget,https://www.instagram.com/mamas.on.a.budget,Finance,Arina,story,mamas.on.a.budget.mp4,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_mamas.on.a.budget0625&utm_content=stories,influencers_mamas.on.a.budget0625,2000.0,20000.0,7000.0,0.35,100.0,285.7142857,0.0014,0.004,28.0,456.0,71.42857143,4.385964912,0.08,0.164473684,2.24,75.0,892.8571429,26.66666667,0.2,0.36,0.448,27.0,0.4,0.148148148,0.1792,4.0,0.0,0.0,0.0,0.3,0.0,0.0,,0.05376,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-06-15,savagegeese,https://www.youtube.com/@savagegeese/videos,Auto,Masha,youtube,https://youtu.be/DY3lZ-QG6b8?si=hks8b2v6C7-_l2Oz&t=238,,influencers_savagegeese0625,4000.0,126500.0,185000.0,1.462450593,31.62055336,21.62162162,0.0014,0.000957297,177.1,362.0,22.58610954,11.04972376,0.08,0.160220994,14.168,58.0,282.3263693,68.96551724,0.2,0.224137931,2.8336,13.0,0.4,0.153846154,1.13344,2.0,0.0,0.0,0.0,0.3,0.0,0.0,,0.340032,0.0,,,0.0,,0.0,,0.0,,True,youtube,DY3lZ-QG6b8,238.0
